[2025-05-20 15:03:20] [INFO] [common.py:76] <module>: Initializing the common module.
[2025-05-20 15:03:21] [INFO] [project.py:35] <module>: Loading libclang from "C:/Program Files/LLVM/lib/libclang.lib".
[2025-05-20 15:03:21] [ERROR] [project.py:47] <module>: Failed to load libclang with the error: LibclangError('[WinError 193] %1 is not a valid Win32 application. To provide a path to libclang use Config.set_library_path() or Config.set_library_file().')
[2025-05-20 15:03:22] [INFO] [project.py:131] get_project_list_from_config: Loading the project "Glibc" (glibc) with the following configurations: {'short_name': 'glibc', 'database_id': 5, 'database_name': 'glibc', 'github_data_name': 'glibc', 'vendor_id': [72], 'product_id': [767], 'url_pattern': 'sourceware', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': 'C:/Users/ramya/Documents/university/SD project/Glibc project/glibc/', 'output_directory_path': 'C:/Users/ramya/Documents/university/2 ano/Database project/CVEDetailsScrape/Output', 'scrape_all_branches': False, 'output_directory_diff_path': 'C:/Users/ramya/Documents/university/2 ano/Database project/CVEDetailsScrape/Output/diff_between_files'}
[2025-05-20 15:03:22] [ERROR] [project.py:95] __init__: Failed to get the repository for the project "Glibc"" with the error: NoSuchPathError('C:\\Users\\ramya\\Documents\\university\\SD project\\Glibc project\\glibc')
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Linux Kernel" (kernel).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "MongoDB" (mongodb).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "MySQL" (mysql).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "PostgreSQL" (postgresql).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Elastic" (elastic).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Redis" (redis).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Apache Cassandra" (apache_cassandra).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "SQLite" (sqlite).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Neo4j" (neo4j).
[2025-05-20 15:03:22] [INFO] [project.py:123] get_project_list_from_config: Ignoring the project "Djangoproject" (django).
[2025-05-20 15:03:22] [INFO] [project.py:663] scrape_vulnerabilities_from_cve_details: Collecting the vulnerabilities for the "Glibc" project (72, 767):
[2025-05-20 15:03:26] [INFO] [project.py:696] scrape_vulnerabilities_from_cve_details: Scraping hub page 1 of 1...
[2025-05-20 15:03:26] [INFO] [project.py:697] scrape_vulnerabilities_from_cve_details: https://www.cvedetails.com/vulnerability-list.php?vendor_id=72&product_id=767
[2025-05-20 15:03:57] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 15 of 25: "CVE-2021-43396" from "https://www.cvedetails.com/cve/CVE-2021-43396"...
[2025-05-20 15:03:59] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=ff012870b2c02a62598c04daa1e54632e020fd7d".
[2025-05-20 15:03:59] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=ff012870b2c02a62598c04daa1e54632e020fd7d".
[2025-05-20 15:03:59] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 16 of 25: "CVE-2021-38604" from "https://www.cvedetails.com/cve/CVE-2021-38604"...
[2025-05-20 15:04:00] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=b805aebd42364fe696e417808a700fdb9800c9e8".
[2025-05-20 15:04:00] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=4cc79c217744743077bf7a0ec5e0a4318f1e6641".
[2025-05-20 15:04:00] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 17 of 25: "CVE-2021-35942" from "https://www.cvedetails.com/cve/CVE-2021-35942"...
[2025-05-20 15:04:02] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=5adda61f62b77384718b4c0d8336ade8f2b4b35c".
[2025-05-20 15:04:02] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git%3Ba=commit%3Bh=5adda61f62b77384718b4c0d8336ade8f2b4b35c".
[2025-05-20 15:04:02] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 18 of 25: "CVE-2021-33574" from "https://www.cvedetails.com/cve/CVE-2021-33574"...
[2025-05-20 15:04:04] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 19 of 25: "CVE-2021-27645" from "https://www.cvedetails.com/cve/CVE-2021-27645"...
[2025-05-20 15:04:06] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 20 of 25: "CVE-2021-3999" from "https://www.cvedetails.com/cve/CVE-2021-3999"...
[2025-05-20 15:04:10] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 21 of 25: "CVE-2021-3998" from "https://www.cvedetails.com/cve/CVE-2021-3998"...
[2025-05-20 15:04:11] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 22 of 25: "CVE-2021-3326" from "https://www.cvedetails.com/cve/CVE-2021-3326"...
[2025-05-20 15:04:13] [ERROR] [cve.py:545] handle_git_urls: --> Could not find a valid commit hash in "https://sourceware.org/git/?p=glibc.git;a=commit;h=7d88c6142c6efc160c0ee5e4f85cde382c072888".
[2025-05-20 15:04:13] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 23 of 25: "CVE-2020-29573" from "https://www.cvedetails.com/cve/CVE-2020-29573"...
[2025-05-20 15:04:14] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 24 of 25: "CVE-2020-29562" from "https://www.cvedetails.com/cve/CVE-2020-29562"...
[2025-05-20 15:04:16] [INFO] [project.py:723] scrape_vulnerabilities_from_cve_details: Scraping the CVE page 25 of 25: "CVE-2020-27618" from "https://www.cvedetails.com/cve/CVE-2020-27618"...
[2025-05-20 15:04:18] [INFO] [collect_vulnerabilities.py:121] main: Finished running for the project "Glibc".
[2025-05-20 15:04:18] [INFO] [collect_vulnerabilities.py:123] main: Finished running.
